model_name,biomarker_set,accuracy,precision,recall,f1,AUC
xgboost,ponti,0.9263513513513514,0.8968636585068811,0.9455519480519481,0.9258238782244892,0.9755486372180451
knn,ponti,0.9180930930930931,0.9172253550543024,0.9052561409179056,0.9040866156591962,0.9778724589250907
decision_tree,semiz,0.9234984984984983,0.8819771647117186,0.9419341085022873,0.9331304471452097,0.9344814356815467
logistic_regression,semiz,0.9373123123123124,0.9176027691778466,0.9491087319748648,0.9235517978190393,0.98534557752787
neural_network,semiz,0.9807807807807807,0.9654312865497076,0.9944444444444445,0.9790866884140735,0.9816208835659636
xgboost,semiz,0.950900900900901,0.9243415153369388,0.972404970760234,0.9483296489741674,0.9858744757564416
knn,semiz,0.9231231231231231,0.9329312865497077,0.889438925367718,0.9050696687130575,0.9775629934632155
decision_tree,zhao,0.9423423423423424,0.9157289670254067,0.9729605263157894,0.9130479452847874,0.9465815796236978
logistic_regression,zhao,0.9506756756756756,0.9290440729720915,0.9655132850241547,0.952211214083524,0.9903504129921507
neural_network,zhao,0.9698948948948948,0.9537277183600713,0.9835497835497836,0.9674791726790513,0.9715530303030302
xgboost,zhao,0.9424174174174175,0.9091989589358012,0.9621428571428572,0.9483654945016182,0.9867070751745673
knn,zhao,0.9507507507507509,0.9296638655462186,0.973461081402258,0.9556366182836771,0.9904068968097606
decision_tree,ponti,0.9095345345345345,0.8954111883988045,0.9363967611336033,0.9247196428173657,0.9215542602607231
logistic_regression,ponti,0.9235735735735735,0.9278111946532999,0.9117064106344293,0.918252732433739,0.9814880184529953
neural_network,ponti,0.97012012012012,0.945644092749356,0.9952380952380953,0.9684052814540619,0.972527623735054
xgboost,ponti,0.9286036036036036,0.9114957577233793,0.9434640522875817,0.918704315586319,0.9795992009833544
knn,ponti,0.9263513513513514,0.9173567733436154,0.8927119883040936,0.9221286958774343,0.9746815643063245
decision_tree,semiz,0.9315315315315316,0.9174320227416203,0.9161059351276742,0.912557473486266,0.9323293751312327
logistic_regression,semiz,0.9371621621621621,0.9278006394190605,0.9430879517799022,0.9310990013055293,0.982874506244492
neural_network,semiz,0.9783783783783784,0.9578754578754578,0.9947368421052631,0.9745174973488865,0.9805383556931545
xgboost,semiz,0.9484234234234232,0.9259722836503024,0.9626535087719297,0.954928121705505,0.9902337672697076
knn,semiz,0.9204954954954955,0.9258849820630006,0.8541117890537395,0.9137749615975423,0.9800438850215907
decision_tree,zhao,0.9317567567567566,0.9017649982867374,0.944078087375301,0.9294314459910433,0.9529028402296591
logistic_regression,zhao,0.9538288288288287,0.9306255835667601,0.9659565580618212,0.948587886529063,0.9890040920327635
