model_name,biomarker_set,accuracy,precision,recall,f1,AUC,TP,FP,TN,FN
knn,ponti,0.9180327868852459,0.9235294117647059,0.9022988505747126,0.9127906976744186,0.9820478404800654,157,13,179,17
decision_tree,semiz,0.9234972677595629,0.8924731182795699,0.9540229885057471,0.9222222222222222,0.9419878610512444,166,20,172,8
logistic_regression,semiz,0.9344262295081968,0.9213483146067416,0.9425287356321839,0.9318181818181818,0.987730518905377,164,14,178,10
neural_network,semiz,0.9728228228228227,0.950961081402258,0.9947368421052631,0.9720537394735356,0.9739945033037138,173,9,183,1
xgboost,semiz,0.9562841530054644,0.9388888888888889,0.9712643678160919,0.9548022598870056,0.9908374988981606,169,11,181,5
knn,semiz,0.9098360655737705,0.9325153374233128,0.8735632183908046,0.9020771513353116,0.9796671877205345,152,11,181,22
decision_tree,zhao,0.9426229508196722,0.9273743016759777,0.9540229885057471,0.9405099150141643,0.9479276972728663,166,13,179,8
logistic_regression,zhao,0.9562841530054644,0.9388888888888889,0.9712643678160919,0.9548022598870056,0.9884972234507838,169,11,181,5
neural_network,zhao,0.9616366366366365,0.9390635680109364,0.9891812865497076,0.9615464483590339,0.9637782429558743,172,12,180,2
xgboost,zhao,0.9453551912568307,0.9139784946236559,0.9770114942528736,0.9444444444444445,0.9852035156201822,170,16,176,4
knn,zhao,0.9562841530054644,0.9340659340659341,0.9770114942528736,0.9550561797752809,0.9882144229562708,170,12,180,4
decision_tree,ponti,0.9153005464480874,0.8994413407821229,0.9252873563218391,0.9121813031161473,0.9193422002750239,161,18,174,13
logistic_regression,ponti,0.9289617486338798,0.9252873563218391,0.9252873563218391,0.9252873563218391,0.9866898096958081,161,13,179,13
neural_network,ponti,0.961861861861862,0.9437983829895595,0.9819444444444445,0.9614674727045818,0.9649374281325083,170,10,182,4
xgboost,ponti,0.9316939890710383,0.9162011173184358,0.9425287356321839,0.9291784702549574,0.9802289376775765,164,15,177,10
knn,ponti,0.912568306010929,0.9176470588235294,0.896551724137931,0.9069767441860465,0.9753812043028501,156,14,178,18
